"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","Authentication","0","Login","16","0","Open the OrangeHRM login experience","0"
"2","Authentication","0","Login","0","0","End an authenticated session","0"
"2","Authentication","0","Logout","0","0","Open the OrangeHRM login experience","0"
"2","Authentication","0","Logout","0","0","End an authenticated session","0"
"0","","1","","0","16","","0"
"0","Authentication","0","Login","4","0","Sign in with valid credentials","0"
"0","Security","8","Access Control","0","0","Protect authenticated routes from anonymous users","0"
"0","Security","4","Access Control","0","0","Block dashboard access before login","0"
"8","Authentication","0","Password Recovery","0","0","Recover access from the public login page","0"
"4","Authentication","0","Password Recovery","0","0","Navigate to and from password reset","0"
"0","Security","4","Access Control","0","0","Block admin access before login","0"
"0","Authentication","0","Login","4","0","Reject invalid credentials","0"
"0","Authentication","0","Login","4","0","Validate mandatory credentials","0"
"0","Authentication","0","Login","4","0","View the login page","0"
"4","Authentication","0","Password Recovery","0","0","Validate reset form requirements","0"
