"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4076","@smoke allows a valid user to sign in successfully","public-chromium","Thu Jul 23 03:13:46 UTC 2026","passed","Thu Jul 23 03:13:50 UTC 2026","Public login page","","",""
"","2861","@regression requires a video URL before sharing a Buzz video post","authenticated-chromium","Thu Jul 23 03:14:05 UTC 2026","passed","Thu Jul 23 03:14:08 UTC 2026","Authenticated Buzz interactions","","",""
"","2393","@regression filters the side menu using the search field","authenticated-chromium","Thu Jul 23 03:14:11 UTC 2026","passed","Thu Jul 23 03:14:14 UTC 2026","Authenticated dashboard coverage","","",""
"","3616","@regression opens Admin and shows its core controls","authenticated-chromium","Thu Jul 23 03:14:25 UTC 2026","passed","Thu Jul 23 03:14:28 UTC 2026","Authenticated module navigation smoke","","",""
"","2468","@smoke shows required-field validation when the form is submitted empty","public-chromium","Thu Jul 23 03:13:40 UTC 2026","passed","Thu Jul 23 03:13:43 UTC 2026","Public login page","","",""
"","3687","@regression opens Leave and shows its core controls","authenticated-chromium","Thu Jul 23 03:14:32 UTC 2026","passed","Thu Jul 23 03:14:36 UTC 2026","Authenticated module navigation smoke","","",""
"","3832","@regression opens PIM and shows its core controls","authenticated-chromium","Thu Jul 23 03:14:28 UTC 2026","passed","Thu Jul 23 03:14:32 UTC 2026","Authenticated module navigation smoke","","",""
"","3638","@regression keeps the selected admin username filter through search and clears it on reset","authenticated-chromium","Thu Jul 23 03:14:43 UTC 2026","passed","Thu Jul 23 03:14:47 UTC 2026","Authenticated search and filter flows","","",""
"","2655","@smoke redirects an unauthenticated visitor to login when opening the dashboard directly","public-chromium","Thu Jul 23 03:13:32 UTC 2026","passed","Thu Jul 23 03:13:35 UTC 2026","Public access control","","",""
"","3584","@regression opens Buzz and shows its core controls","authenticated-chromium","Thu Jul 23 03:14:39 UTC 2026","passed","Thu Jul 23 03:14:43 UTC 2026","Authenticated module navigation smoke","","",""
"","2562","@regression opens the Share Photos modal with the Share action disabled until media is selected","authenticated-chromium","Thu Jul 23 03:14:03 UTC 2026","passed","Thu Jul 23 03:14:05 UTC 2026","Authenticated Buzz interactions","","",""
"","3308","@regression rejects an incorrect password with a clear error message","public-chromium","Thu Jul 23 03:13:43 UTC 2026","passed","Thu Jul 23 03:13:46 UTC 2026","Public login page","","",""
"","3286","@smoke shows the expected dashboard widgets and critical navigation items","authenticated-chromium","Thu Jul 23 03:14:08 UTC 2026","passed","Thu Jul 23 03:14:11 UTC 2026","Authenticated dashboard coverage","","",""
"","4375","@regression redirects to login when the authenticated browser state is cleared","authenticated-chromium","Thu Jul 23 03:14:56 UTC 2026","passed","Thu Jul 23 03:15:01 UTC 2026","Authenticated session security","","",""
"","4839","@smoke allows a signed-in user to log out cleanly","public-chromium","Thu Jul 23 03:13:50 UTC 2026","passed","Thu Jul 23 03:13:55 UTC 2026","Public login page","","",""
"","2978","@regression finds an existing employee in Directory and restores the default list on reset","authenticated-chromium","Thu Jul 23 03:14:47 UTC 2026","passed","Thu Jul 23 03:14:50 UTC 2026","Authenticated search and filter flows","","",""
"","3476","@regression opens Directory and shows its core controls","authenticated-chromium","Thu Jul 23 03:14:36 UTC 2026","passed","Thu Jul 23 03:14:39 UTC 2026","Authenticated module navigation smoke","","",""
"","3578","@regression keeps the dashboard accessible after a browser refresh","authenticated-chromium","Thu Jul 23 03:14:21 UTC 2026","passed","Thu Jul 23 03:14:25 UTC 2026","Authenticated dashboard coverage","","",""
"","2460","@smoke renders the login page essentials and masks the password field","public-chromium","Thu Jul 23 03:13:38 UTC 2026","passed","Thu Jul 23 03:13:40 UTC 2026","Public login page","","",""
"","3706","@smoke opens the reset password page and returns to login on cancel","public-chromium","Thu Jul 23 03:13:55 UTC 2026","passed","Thu Jul 23 03:13:59 UTC 2026","Password recovery","","",""
"","2976","@regression requires a username before sending a reset request","public-chromium","Thu Jul 23 03:13:59 UTC 2026","passed","Thu Jul 23 03:14:02 UTC 2026","Password recovery","","",""
"","6534","@regression blocks protected routes after logout","authenticated-chromium","Thu Jul 23 03:14:50 UTC 2026","passed","Thu Jul 23 03:14:56 UTC 2026","Authenticated session security","","",""
"","3282","authenticate admin user","setup","Thu Jul 23 03:13:28 UTC 2026","passed","Thu Jul 23 03:13:31 UTC 2026","","","",""
"","3687","@regression opens My Timesheet from Quick Launch","authenticated-chromium","Thu Jul 23 03:14:17 UTC 2026","passed","Thu Jul 23 03:14:21 UTC 2026","Authenticated dashboard coverage","","",""
"","2512","@regression redirects an unauthenticated visitor away from the admin area","public-chromium","Thu Jul 23 03:13:35 UTC 2026","passed","Thu Jul 23 03:13:38 UTC 2026","Public access control","","",""
"","3622","@regression opens Assign Leave from Quick Launch","authenticated-chromium","Thu Jul 23 03:14:14 UTC 2026","passed","Thu Jul 23 03:14:17 UTC 2026","Authenticated dashboard coverage","","",""
